molecule_chembl_id,canonical_smiles
CHEMBL267039,O=C(O)C1(CCCCOc2ccc(OCCCCC3(C(=O)O)CCC3)cc2)CCC1
CHEMBL415105,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)Nc2ccccc2)cc1
CHEMBL274212,CCOc1cc2c(cc1Cc1ccc(OC)cc1)OCO2
CHEMBL10013,CCSc1ccnc(C[S+]([O-])c2nc3ccccc3n2C(C)OC(C)=O)c1C
CHEMBL418522,O=C(Nc1ccc(C[C@H](/N=c2\c(O)c(O)\c2=N/c2ccccc2)C(=O)O)cc1)c1c(Cl)cncc1Cl
CHEMBL8353,CON(C)C(=O)/C=C1/C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CS[C@H]12.[Na+]
CHEMBL269575,CS(=O)(=O)N[C@@H](C(=O)N1CCC[C@H]1C(=O)NCc1ccc(C(=N)N)cc1)C(c1ccccc1)c1ccccc1
CHEMBL278451,CC(C)(c1ccccc1)C(O)/C=C/[C@H]1CCC(=O)N1CCCCCCC(=O)O
CHEMBL443,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1
CHEMBL417260,COc1cccc(OC)c1-c1cccn(C(CN2CCC(O)C2)c2ccccc2)c1=O
CHEMBL12523,CN(C)CCCn1c2c(c3ccccc31)CCN(CCCc1cccnc1)C2
CHEMBL269703,CCC1COC(c2ccc(OCCCCCCCc3cc(C)no3)cc2)=N1
CHEMBL6701,COc1c2occc2c(CN2CCCCC2)c2ccc(=O)oc12.Cl
CHEMBL268615,CS(=O)(=O)O.Nc1nc2ccc(Cl)cc2c2nc(-c3ccoc3)nn12
CHEMBL9868,COc1ccc(Sc2ccccc2NC2=NCCN2)cc1
CHEMBL268952,CCCCC[C@H](O)/C=C/[C@@H]1[C@H]2C(=O)/C(=C/CCCC(=O)[O-])O[C@H]2C[C@H]1O.[Na+]
CHEMBL275873,CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@@H]2c3ccc(C(C)(C)C)c4[nH]cc(c34)C[C@H]21
CHEMBL442527,CC1(C)C=C(C(=O)NCC(O)CNC(=O)Cc2cccs2)C(C)(C)N1
CHEMBL269573,Cc1cc(=O)n(C(=O)OC(C)(C)C)c2c3c(ccc12)OC(C)(C)[C@H](O)[C@@H]3O
CHEMBL15009,C=C(C)n1c(=O)n(Cc2nc3ccccc3n2CCC(C)O)c2ccccc21
CHEMBL9181,O=C(NCC=C(c1ccccc1)c1ccccc1)c1ccnc2ccccc12
CHEMBL14775,COc1ccc2nc(-c3ccccn3)cc(O)c2c1
CHEMBL275333,O=S1(=O)c2cccc3cccc(c23)N1CCCCN1CCCCC1
CHEMBL273530,COc1ccc(Sc2ccc(NC3=NC(C)CN3)cc2)cc1
CHEMBL12938,CSc1ccc(C(=O)c2c(C)n(CCN3CCOCC3)c3ccccc23)cc1
CHEMBL15510,O=c1c(Nc2ccccc2)cccn1C(CN1CCCC1)c1ccccc1
CHEMBL269178,O=C1O[C@H](c2cccc(Cl)c2)[C@@](Cn2cncn2)(c2cccc(Cl)c2)O1
CHEMBL6285,COC(=O)[C@@H](N)CCC(=O)Nc1ccc([N+](=O)[O-])cc1.Cl
CHEMBL8539,CCCC[C@@H](C[C@@H](CCc1cccc(-c2ccccc2)c1)C(=O)N[C@H](C(=O)NC)C(C)(C)C)C(=O)O
CHEMBL12665,Nc1ccc(OC23CC4C5CC6CC4C(C2)C(C6)C5C3)cc1
CHEMBL275331,Cc1c(C)c2ccc(OS(N)(=O)=O)cc2oc1=O
CHEMBL416701,CCCCC(O)(c1ccc(F)cc1)C(O)(Cn1cncn1)c1ccccc1Cl
CHEMBL8562,CC(C)(C)c1cc(/C=C2\CCOC2=O)cc(C(C)(C)C)c1O
CHEMBL9819,CN(C(=O)CN)c1ccc(Cl)cc1C(=O)c1ccccc1
CHEMBL11040,CCOc1ccc(NC2=C(Cl)C(=O)c3ccncc3C2=O)cc1
CHEMBL8070,CCOC(=O)C(CNC(=O)N(C)N=O)NC(=O)c1ccc(N(C)Cc2cnc3nc(N)nc(N)c3n2)cc1
CHEMBL7353,CCCCCNC(=O)NS(=O)(=O)c1cc([N+](=O)[O-])ccc1NC1CCCCC1
CHEMBL269417,O=C1NC(=O)C(CC#Cc2ccccc2Cl)(S(=O)(=O)c2ccccc2)S1
CHEMBL414023,Oc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12
CHEMBL269389,COc1nc(C(Cl)(Cl)Cl)c(Cl)c(OC(C)C)c1Cl
CHEMBL274058,Nc1nc(O)c2ncn(C3CCCc4ccccc43)c2n1
CHEMBL15738,CCOc1c(N2CCC(C)(CN)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
CHEMBL10092,COc1ccc(Cn2c(C(=O)O)c(-c3ccc4c(c3)OCO4)c3cc(OCc4ccccc4)ccc32)cc1
CHEMBL7314,CCCC/C(=C\Cn1oc(=O)n(CC(=O)O)c1=O)c1cccc(OCc2cc(Cl)cc(Cl)c2)c1
CHEMBL13431,CC(C)=CCc1c(O)n(Cc2ccc([S+](C)[O-])cc2)c2nc3c(c(=O)n(C)c(=O)n3C)n2c1=O
CHEMBL276752,Fc1ccc(-c2[nH]ccc3c4ccccc4nc2-3)c(F)c1
CHEMBL7963,Cc1nc(O)ccc1-c1ccc(-n2ccnc2)cc1
CHEMBL269643,O=C1NC(=O)C(CC#Cc2ccccc2)(S(=O)(=O)c2ccc3ccccc3c2)S1
CHEMBL7103,OCCc1ccc(OCCCc2cc3c(cc2O)CCO3)cc1
CHEMBL15281,N#CCCn1c(Cn2c(O)nc3ccccc32)nc2ccccc21
CHEMBL275439,CC1CC2C3CCC4=CC(=O)C=CC4(C)[C@@]3(Cl)C(Cl)CC2(C)[C@@]1(OC(=O)c1ccco1)C(=O)CF
CHEMBL11758,CCOc1cccc2c1C(=O)N(COC(=O)c1c(Cl)cccc1Cl)S2(=O)=O
CHEMBL275622,C[C@@H]1CN(C(=O)N2Cc3c(C(=O)OC(C)(C)C)ncn3-c3cccc(Cl)c32)C[C@H](C)N1
CHEMBL267235,COc1ccccc1C/N=C(\S)c1ccc2cnccc2n1
CHEMBL7036,O=C(OC[C@H]1C[C@@H]2O[C@H]1[C@H]1C(=O)OC(=O)[C@H]12)c1cccc(Oc2ccccc2)c1
CHEMBL7272,CCOC(=O)CCC(NC(=O)c1ccc2nc(N)nc(N)c2c1)C(=O)OCC
CHEMBL9817,CCCc1c(C(=O)NCCCO)cnn1-c1nc(-c2cccc(C(F)(F)F)c2)cs1
CHEMBL10406,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CC[C@H](C)C(O)C21
CHEMBL6944,CCOC(=O)C1=C(O)C(=O)N(Cc2cccs2)C1
CHEMBL9702,CC(C)(C)C(=O)Oc1ccccc1C(=O)c1ccccc1
CHEMBL7722,Cc1cc(-c2c(F)cc3c(=O)c(CC4CCCCC4)cn(C4CC4)c3c2F)cc(C)n1
CHEMBL12115,CC(C)Sc1ccc(CC2CCN(C3CCN(C(=O)c4ccc(Cl)cc4Cl)CC3)CC2)cc1
CHEMBL10631,CC(C)C(=O)C(O)(Cn1cnnc1)c1ccc(Cl)cc1Cl
CHEMBL13221,CCCCCCCCCCCCCC[C@@H]1C(=O)O[C@@H](CO)[C@@H]1OC(C)=O
CHEMBL12225,O=C(O)c1ccc(O)c(C(=O)/C=C/c2ccccc2OCc2ccccc2)c1
CHEMBL266593,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CN(OCc3ccccc3)C(=O)c3ccccc3)C2SC1
CHEMBL11895,CC(C)(C)c1cc(C(=O)O)c(O)c(C(=O)/C=C/c2cccc(/C=C/c3ccc4ccccc4n3)c2)c1
CHEMBL11506,O=c1cnn(-c2ccc(S(=O)(=O)Nc3c(F)c(F)c(F)c(F)c3F)c(Cl)c2)c(=O)[nH]1
CHEMBL9622,CCCCCCCCN(C)/N=N/c1ccc(C(=O)O)cc1
CHEMBL274368,COc1cc2c(-c3ccc4c(c3)OCO4)c(C(=O)O)n(-c3ccc4c(c3)OCO4)c2cc1OC
CHEMBL7386,Cc1cc([N+](=O)[O-])ccc1C(=O)OCC(O)CNC(C)(C)C
CHEMBL15262,CCc1nc2ccccc2c(=O)n1CCNC(=O)C1=CC(C)(C)NC1(C)C
CHEMBL268645,O=C(NCCCCCn1ccnc1)c1ccc(Cl)nc1
CHEMBL280297,COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cc(-c3ccccc3)cc(-c3cccnc3)c1)CC2
CHEMBL9985,COc1ccccc1COC1(C2=NCCN2)COc2ccccc2O1
CHEMBL8883,Cc1ccc2c(Cl)c(C(=O)NCCCn3ccnc3)sc2c1
CHEMBL13509,C/C=C/Cc1c(O)n(Cc2ccccc2)c2nc3c(c(=O)n(C)c(=O)n3C)n2c1=O
CHEMBL11893,CC(C)Sc1ccc(CC2CCN(C3CCN(C(=O)c4cccc5cc(F)ccc45)CC3)CC2)cc1
CHEMBL10314,CN(C)C[C@@H](NC(=O)c1cc(-c2ccccc2)nc2ccccc12)c1ccccc1
CHEMBL277281,O=C(O)c1cn2c3c(nc(O)c2n1)-c1ccccc1C3
CHEMBL483,C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O
CHEMBL275009,COC(=O)CC(c1ccc(OC)c(OC)c1)N1C(=O)c2c(F)c(F)c(F)c(F)c2C1=O
CHEMBL7017,c1ccc2c(c1)CCCc1nc(-c3ccncc3)[nH]c1-2
CHEMBL266882,COc1cc(NP(=O)(OC)OC)ccc1Nc1c2ccccc2nc2cc(Br)ccc12
