Smiles,Catalog ID,Plate_ID,Well
CN1N=CC(C(=O)NCCN2C=CC=C2)=C1N3C=CC=C3,Z1310912881,1953578-Y10-01,A01
CC(C)(C)OC(=O)N1CCN2N=CC(=C2C1)C=3C=CC=C4NC(=O)NC34,Z3512101126,1953578-Y10-01,B01
O=C(CCNC(=O)C=1C=CC=2C=NNC2C1)N[C@@H]3CCN(C3)C(=O)C4CCO4,Z6336130358,1953578-Y10-01,C01
CC=1C=CN2N=CC(C(=O)NC=3C=CC(OCC=4C=CC=C(C#N)C4)=C(F)C3)=C2N1,Z1096312231,1953578-Y10-01,D01
CC1CCCCC1C2=NC(=NN2CC=3C=C(F)C=C(F)C3)C4=NN=CN4,Z4873984490,1953578-Y10-01,E01
O=C(NC=1C=CC=CC1)C=2C=CC=C(C2)C(=O)N3CCN(CC3)C=4C=CC=CN4,Z2066007587,1953578-Y10-01,F01
CC=1C=NC(=NC1)N2CCCC3C2CCC4=C3N=CN4C,Z3071580788,1953578-Y10-01,G01
CN(C)C=1C=C(NC(=O)N2CCNC(=O)C2C=3C=CC(F)=CC3C)C=C(C1)C(F)(F)F,Z5335660469,1953578-Y10-01,H01
OCC1(CCOCC1)C(NC(=O)C2(CCN3C2)CCC3)C4CC4,Z2913537033,1953578-Y10-01,I01
CC(NC(=O)C1=CC=2C(Cl)=CC(Cl)=CC2N1)C=3C=CC(OCC(=O)N)=CC3,Z1839977548,1953578-Y10-01,J01
COC=1C=C(CC(=O)NC=2C=C(N(C)N2)C(F)(F)F)C=CC1C,Z3087209264,1953578-Y10-01,K01
COC1CN(CC(=O)N[C@@H](C(C)C)C(=O)OC)CC1(C)C,Z3319630569,1953578-Y10-01,L01
CC(C)NC(=O)C1(CC1)NC(=O)C=2C=CN=C(OCCO)C2,Z6361146343,1953578-Y10-01,M01
O=C(COC=1C=CC=NC1)NC2CC3(CCOCC3)OC=4C=CC=CC24,Z2852203134,1953578-Y10-01,N01
CCN1C=C(Cl)C(NC(=O)CN2N=C3CCCCCN3C2=O)=N1,Z2877085754,1953578-Y10-01,O01
CC1=NSC(NC2CCC=3NC=4C=CC(C)=CC4C3C2)=N1,Z1618307010,1953578-Y10-01,P01
OC(CN1CCN(CC(=O)N2CCC=3C=CC=CC23)CC1)C4CC4,Z1208103774,1953578-Y10-01,A02
CC(C)NC(=O)NC1CCN(CC1)C(=O)C=2C=CC=3CCN(C)C3C2,Z4424472937,1953578-Y10-01,B02
"CC(C)C(=O)NC1=NC(CC(=O)N2CC[C@@H](O)[C@H]2C=3C=CC(Cl)=CC3)=CS1 |&1:15,17,r|",Z4421005185,1953578-Y10-01,C02
COC=1C=CC(=CC1)C=2C=C(NN2)C(=O)N3CCCC(C3)C#N,Z2736415225,1953578-Y10-01,D02
CN(CCNC(=O)C(C)(C)F)C(=O)CC1C(=O)NC=2C=CC=CC12,Z4054367948,1953578-Y10-01,E02
CC1N(CCNC1=O)C(=O)C2=CN(C)N=C2C=3C(F)=CC=CC3F,Z6375136262,1953578-Y10-01,F02
CC=1C=CC=CC1N2N=CC(C(=O)N3CCN(CC3)C(=O)C=4C=CC=CC4)=C2N,Z1671466647,1953578-Y10-01,G02
CN(C)[C@@H](CO)C(=O)NC=1C=CN(CC=2C=CC=CC2)N1,Z6214180529,1953578-Y10-01,H02
"CN(C)C(=O)C(C)(C)C(=O)N1C[C@@H]2CC[C@H]1[C@H]2NC(=O)C3=COC(C#N)=C3 |&1:12,15,16,r|",Z6033271948,1953578-Y10-01,I02
O=C(NCCC1=NN=C2CCCCCN12)N3CCC(CC3)C4=CNC=N4,Z1364004882,1953578-Y10-01,J02
COC=1C=CC(=CC1)C2=NC(C)=C(S2)C(C)NC(=O)NCC3=CNN=C3C,Z1701548262,1953578-Y10-01,K02
O=C(CNC=1C=CC(C#N)=CC1)NCC2=NC(=NO2)C=3C=CC=CN3,Z1171626756,1953578-Y10-01,L02
FC=1C=CC(=CC1)C(=O)N2CCCN(CC2)C(=O)NC=3C=NN(C3)C4CCCCC4,Z6190451551,1953578-Y10-01,M02
CN1CCN(CC(=O)NC=2C=CC(=CC2)N3CCOCC3)CC1C(C)(C)C,Z2836923626,1953578-Y10-01,N02
CN1CC(=O)N(C(CN2C=NC=3C=CC=CC23)C=4C=CC(F)=CC4)C1=O,Z1868682305,1953578-Y10-01,O02
CC1=NN2C=CNC(=O)C2=C1C(=O)N3CCC(C3)C(=O)OC(C)(C)C,Z4662215468,1953578-Y10-01,P02
"O=C(CCNC(=O)C=1C=CSC1)N2C[C@@H]3CCS(=O)(=O)[C@@H]3C2 |&1:14,20,r|",Z2965765608,1953578-Y10-01,A03
CNC(=O)C1=CC=2C=C(NS(=O)(=O)C=3C=CC(OC)=C(CC(=O)O)C3)C=CC2N1,Z1955268602,1953578-Y10-01,B03
CC(C)N1N=CC=2C(=CC(=NC12)C=3C=CC=CC3C)C(=O)NC=4C=C5C=CC=CC5=NN4,Z3590119690,1953578-Y10-01,C03
